# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual biome
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 23:03:28 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 23:02:45 (c)2010 lemmen
0097 001 -9999.00
0098 001 -9999.00
0099 001 -9999.00
0100 001 -9999.00
0101 001 -9999.00
0102 001 -9999.00
0103 001 -9999.00
0104 001 -9999.00
0105 001 -9999.00
0106 001 -9999.00
0107 001 -9999.00
0108 001 -9999.00
0109 001 -9999.00
0110 001 -9999.00
0111 001 -9999.00
0112 001 -9999.00
0113 001 -9999.00
0114 001 -9999.00
0115 001 -9999.00
0116 001 -9999.00
0117 001 -9999.00
0118 001 -9999.00
0119 001 -9999.00
0120 001 -9999.00
0121 001 -9999.00
0122 001 -9999.00
0123 001 -9999.00
0124 001 -9999.00
0125 001 -9999.00
0126 001 -9999.00
0127 001 -9999.00
0128 001 -9999.00
0129 001 -9999.00
0130 001 -9999.00
0131 001 -9999.00
0132 001 -9999.00
0133 001 -9999.00
0134 001 -8278.44
0135 001 -9999.00
0136 001 -9999.00
0137 001 -9999.00
0138 001 -9999.00
0139 001 -9999.00
0140 001 -9999.00
0141 001 -9999.00
0142 001 -9999.00
0143 001 -9999.00
0144 001 -9999.00
0145 001 -1276.69
0146 001 -9999.00
0147 001 -9999.00
0148 001 -9999.00
0149 001 -9999.00
0150 001 -9999.00
0151 001 -9999.00
0152 001 -9999.00
0153 001 -9999.00
0154 001 -9999.00
0155 001 -9999.00
0156 001 -9999.00
0157 001 -9999.00
0158 001 -9999.00
0159 001 -9999.00
0160 001 -9999.00
0161 001 -9999.00
0162 001 -5306.44
0163 001 -6980.91
0164 001 -9999.00
0165 001 -9999.00
0166 001 -9999.00
0167 001 -9999.00
0168 001 -9999.00
0169 001 -9999.00
0170 001 -9999.00
0171 001 -9999.00
0172 001 -9999.00
0173 001 -9999.00
0174 001 -9999.00
0175 001 -9999.00
0176 001 -9999.00
0177 001 -9999.00
0178 001 -9999.00
0179 001 -9999.00
