AB;Alberta;CAN;;
BC;British_Columbia;CAN;;
LB;Labrador;CAN;;
MB;Manitoba;CAN;;
NB;New_Brunswick;CAN;;
NF;New_Foundland;CAN;;
NT;Northwest_Territories;CAN;;
NS;Nova_Scotia;CAN;;
NU;Nunavut;CAN;;
ON;Ontario;CAN;;
PE;P.E.I;;;
QC;Quebec;CAN;;
SK;Saskatchewan;CAN;;
YK;Yukon;CAN;;
AL;Alabama;USA;32;-86
AK;Alaska;USA;64;-154
AZ;Arizona;USA;34;-111
AR;Arkansas;USA;35;-92
CA;California;USA;37;-119
CO;Colorado;USA;40;-106
CT;Connecticut;USA;42;-73
DE;Delaware;USA;39;-76
FL;Florida;USA;27;-81
GA;Georgia;USA;32;-83
ID;Idaho;USA;44;-114
IL;Illinois;USA;40;-89
IN;Indiana;USA;41;-86
IA;Iowa;USA;42;-93
KS;Kansas;USA;39;-98
KY;Kentucky;USA;38;-84
LA;Louisiana;USA;31;-92
MA;Massachusetts;USA;42;-71
ME;Maine;USA;45;-69
MD;Maryland;USA;39;-77
MI;Michigan;USA;44;-86
MN;Minnesota;USA;47;-95
MS;Mississippi;USA;32;-89
MO;Missouri;USA;38;-92
MT;Montana;USA;47;-110
NE;Nebraska;USA;41;-100
NV;Nevada;USA;39;-116
NH;New_Hampshire;USA;43;-72
NJ;New_Jersey;USA;40;-74
NM;New_Mexico;USA;35;-105
NY;New_York;USA;43;-74
NC;North_Carolina;USA;35;-79
ND;North_Dakota;USA;48;-101
OH;Ohio;USA;40;-83
OK;Oklahoma;USA;35;-97
OR;Oregon;USA;44;-121
PA;Pennsylvania;USA;41;-77
RI;Rhode_Island;USA;42;-71
SC;South_Carolina;USA;33;-81
SD;South_Dakota;USA;44;-100
TN;Tennessee;USA;36;-87
TX;Texas;USA;32;-100
UT;Utah;USA;39;-111
VT;Vermont;USA;45;-73
WA;Washington;USA;48;-121
WV;West_Virginia;USA;38;-80
WI;Wisconsin;USA;48;-88
WY;Wyoming;USA;43;-107
